message;severity;node;stamp;location
"[SLAM_PROCESS_CONES] observations=11, landmarks=394, candidates=35";"10";"cc_slam_node";"1752768802.907913200";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ADD_OBSERVATION] keyframe=61, landmark=353, obs_pos=[5.19,-2.35]";"10";"cc_slam_node";"1752768795.378235576";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_KEYFRAME_CREATED] id=60, pose=[70.12,26.65,3.10]";"20";"cc_slam_node";"1752768794.646775691";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:317"
"[SLAM_ADD_OBSERVATION] keyframe=59, landmark=342, obs_pos=[4.01,2.60]";"10";"cc_slam_node";"1752768793.949251650";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_PROCESS_CONES] observations=8, landmarks=351, candidates=24";"10";"cc_slam_node";"1752768792.880882611";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ADD_OBSERVATION] keyframe=56, landmark=338, obs_pos=[4.31,2.61]";"10";"cc_slam_node";"1752768791.842340828";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768786.865334603";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ADD_OBSERVATION] keyframe=49, landmark=308, obs_pos=[1.98,-1.75]";"10";"cc_slam_node";"1752768785.171467196";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768783.170383396";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=9, unmatched_obs=3";"10";"cc_slam_node";"1752768782.364650829";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=12, landmarks=300, candidates=10";"10";"cc_slam_node";"1752768782.364299181";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768780.716259463";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768780.097666910";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=4, unmatched_obs=8";"10";"cc_slam_node";"1752768780.065305182";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=12, landmarks=273, candidates=13";"10";"cc_slam_node";"1752768780.064966049";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_PROCESS_CONES] observations=11, landmarks=218, candidates=9";"10";"cc_slam_node";"1752768771.436381807";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768767.847425041";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ADD_OBSERVATION] keyframe=29, landmark=54, obs_pos=[4.83,4.08]";"10";"cc_slam_node";"1752768765.858058053";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_ASSOCIATION] matched_pairs=11, unmatched_obs=1";"10";"cc_slam_node";"1752768762.420801939";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=10, landmarks=127, candidates=4";"10";"cc_slam_node";"1752768761.923649943";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768758.829974531";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=11, unmatched_obs=1";"10";"cc_slam_node";"1752768758.816123487";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=12, landmarks=115, candidates=4";"10";"cc_slam_node";"1752768758.815799303";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_OPTIMIZATION_ERROR] Optimization returned False!";"40";"cc_slam_node";"1752768756.323123616";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_perform_optimization:405"
"[SLAM_ASSOCIATION] matched_pairs=15, unmatched_obs=1";"10";"cc_slam_node";"1752768755.605123192";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=16, landmarks=61, candidates=2";"10";"cc_slam_node";"1752768755.604777605";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Message Filter dropping message: frame 'ground_truth_base_link' at time 1752768745.059 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz";"1752768755.075576274";"/opt/ros/humble/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:706"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768750.712933278";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768749.912717555";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_KEYFRAME_CREATED] id=2, pose=[34.25,12.13,-0.05]";"20";"cc_slam_node";"1752768745.952764240";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:317"
"[SLAM_ASSOCIATION] matched_pairs=7, unmatched_obs=0";"10";"cc_slam_node";"1752768745.952376128";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=7, landmarks=11, candidates=0";"10";"cc_slam_node";"1752768745.952044047";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768745.911091627";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=8, unmatched_obs=0";"10";"cc_slam_node";"1752768745.903329795";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=8, landmarks=11, candidates=0";"10";"cc_slam_node";"1752768745.902991462";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ASSOCIATION] matched_pairs=8, unmatched_obs=0";"10";"cc_slam_node";"1752768745.853230748";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=8, landmarks=11, candidates=0";"10";"cc_slam_node";"1752768745.852895251";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768745.810744256";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=7, unmatched_obs=1";"10";"cc_slam_node";"1752768745.803997003";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=8, landmarks=11, candidates=0";"10";"cc_slam_node";"1752768745.803633600";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ASSOCIATION] matched_pairs=7, unmatched_obs=1";"10";"cc_slam_node";"1752768745.753270668";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=8, landmarks=10, candidates=1";"10";"cc_slam_node";"1752768745.752945702";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768745.710819556";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=7, unmatched_obs=0";"10";"cc_slam_node";"1752768745.701758340";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=7, landmarks=10, candidates=0";"10";"cc_slam_node";"1752768745.700858019";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ASSOCIATION] matched_pairs=7, unmatched_obs=0";"10";"cc_slam_node";"1752768745.651679644";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=7, landmarks=10, candidates=0";"10";"cc_slam_node";"1752768745.651353335";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768745.611111909";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=8, unmatched_obs=0";"10";"cc_slam_node";"1752768745.602242343";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
"[SLAM_PROCESS_CONES] observations=8, landmarks=10, candidates=0";"10";"cc_slam_node";"1752768745.601937938";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"Backend now has 2 keyframes";"10";"cc_slam_node";"1752768745.569886224";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:374"
"[SLAM_BACKEND_STATE] graph_size=11, factors_since_opt=11, keyframes_since_opt=2";"10";"cc_slam_node";"1752768745.569606508";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:364"
"[SLAM_OBSERVATION_FACTORS] Added 9 observation factors for keyframe 1";"20";"cc_slam_node";"1752768745.569328635";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:353"
"[SLAM_ADD_OBSERVATION] keyframe=1, landmark=9, obs_pos=[7.27,12.51]";"10";"cc_slam_node";"1752768745.569052376";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_ADD_OBSERVATION] keyframe=1, landmark=8, obs_pos=[13.83,2.71]";"10";"cc_slam_node";"1752768745.567934101";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_ADD_OBSERVATION] keyframe=1, landmark=7, obs_pos=[10.33,2.62]";"10";"cc_slam_node";"1752768745.566812279";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_ADD_OBSERVATION] keyframe=1, landmark=6, obs_pos=[6.86,2.51]";"10";"cc_slam_node";"1752768745.565639767";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_ADD_OBSERVATION] keyframe=1, landmark=5, obs_pos=[3.38,2.39]";"10";"cc_slam_node";"1752768745.564502765";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_ADD_OBSERVATION] keyframe=1, landmark=3, obs_pos=[12.27,-2.31]";"10";"cc_slam_node";"1752768745.563253419";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
